Adelphia  ,mail.adelphia.net
Ameritech ,smtp.ameritech.yahoo.com
AOL ,smtp.aol.com
Atlantic Broadband ,smtp.atlanticbb.net
AT&T ,mailhost.att.net
AT&T Broadband ,mail.attbi.com
AT&T Global Dialup ,smtp1.attglobal.net
AT&T Worldnet ,mailhost.worldnet.att.net
BCPL ,mail.bcpl.net
Bellatlantic ,smtpout.verizon.net
Bellatlantic.net ,smtpout.bellatlantic.net
Bell Canada ,smtp10.bellnet.ca
Bellsouth ,mail.bellsouth.net
Bestweb ,smtp.bestweb.net
Blazenet ,smtp.blazenet.net
CableOne ,mail.cableone.net
CAIS ,smtp.cais.net
CAPU ,smtp.capu.net
Charm.net ,smtp.charm.net
Charter Communications ,smtp.chartermi.net
Charter.Net ,smtp.charter.net
CharterMI.net ,mail.chartermi.net
CharterTN.net ,mail.chartertn.net
Coax.Net Central ,smtp.central.coax.net
Coax.Net East ,smtp.east.coax.net
Coax.Net West ,smtp.west.coax.net
Comcast ,smtp.comcast.net
Compuserve ,smtp.compuserve.com
Concentric.net ,smtp.concentric.net
Covad ,smtp.covad.net
Cox West ,smtp.west.cox.net
Cox Central ,smtp.central.cox.net
Cox East ,smtp.east.cox.net
Cox Business ,smarthost.coxmail.com
Crosslink ,smtp.crosslink.net
DCANET ,smtp-relay.dca.net
Delmarva Online ,mail-gw.dmv.com
Delta Net ,smtp.deltanet.com
Direcway ,smtp.direcway.com
DSL Extreme ,smtp.dslextreme.com
Earthlink ,smtp.earthlink.net
Earthlink International ,ismtp.earthlink.net
Edge.net ,mail.edge.net
Enter ,smtp.enter.net
Erols ,mail.erols.com
Etisalat ,smtp.emirates.net.ae
Ezy ,smtp.ezy.net
Flash.Net ,smtp.flash.yahoo.com
Frontiernet.Net ,smtp.frontiernet.net
Frontline.Net ,smtp.fcc.net
Fuse ,smtp.fuse.net
Gateway ,smtp.gateway.net
GTI ,mail.gti.net
GMail ,smtp.gmail.com
HotMail ,mail.hotmail.com
IBM Global Net ,smtp1.ibm.net
ioNet Inc ,mail.ionet.net
Internet America ,mail.airmail.net
ITOL ,mail.itol.com
Juno ,smtp.juno.com
Mediacom ,mail.mchsi.com
Mediaone ,smtp.ce.medione.net
MegaPath ,mail.megapathdsl.net
Mindspring ,smtp.mindspring.com
MSN ,smtp.email.msn.com
MSN DSL ,secure.smtp.email.msn.com
Nauticom ,mail.nauticom.net
NEBI.com ,mail.nebi.com
Netcom ,smtp.ix.netcom.com
Netcom Canada ,smtp.netcom.ca
Netscape ,smtp.isp.netscape.com
NetZero ,smtp.netzero.net
NYU.edu ,smtp.nyu.edu
OLG.com ,mail.olg.com
OOL ,mail.optonline.net
Pacbell/Pacific Bell ,smtp.pacbell.yahoo.com
Panix.com ,mailhost.panix.com
Patriot Media ,smtp.patmedia.net
PeoplePC ,smtp.peoplepc.com
Pipeline ,smtp.pipeline.com
Prodigy ,smtp.prodigy.yahoo.com
PSI.Net ,relay.smtp.psi.net
PTD.Net ,mail.ptdprolog.net
QIS ,mail.qis.net
Quixnet.net ,smtp.quixnet.net
Qwest Internet Service ,pop.dnvr.qwest.net
RCN ,smtp.rcn.com
Rider.edu ,enigma.rider.edu
RoadRunner ,smtp-server.rr.com
Rogers Hi-Speed ,smtp.broadband.rogers.com
ROL ,smtp.rol.ru
SBC Global ,smtp.sbcglobal.net
SBC Yahoo DSL ,smtp.att.yahoo.com
Smallville Communications ,mail.toto.net
SNet ,smtp.snet.yahoo.com
SNiP ,mail.snip.net
Speakeasy ,mail.speakeasy.net
Spectrum DSL ,mail.webstable.com
SprintLink ,smtp.a001.sprintmail.com
Sprynet ,m6.sprynet.com
Starpower ,smtp.starpower.net
Swbell ,smtp.swbell.yahoo.com
Sympatico ,mailhost.sk.sympatico.ca
The-Beach.net ,mail.the-beach.net
UMBC ,smtp.gl.umbc.edu
USA.NET ,mail.netaddress.usa.net
US Internet ,smtp.usit.net
UUNet ,mail.uu.net
Verio ,smtp.veriomail.com
Verizon ,outgoing.verizon.net
Wans.net ,smtp.wans.yahoo.com
Wide Open West ,smtp.mail.wideopenwest.com
XO Communications ,smtp.concentric.net
Yahoo ,smtp.mail.yahoo.com
Ziplink ,smtp.ziplink.net
